Task 1- Release:  0.100, Completion:  0.209, Response: 0.109, WCRT: 0.109, Next Release:  0.400
Task 2- Release:  6.900, Completion:  7.003, Response: 0.103, WCRT: 0.649, Next Release:  7.300
Task 1- Release:  7.000, Completion:  7.109, Response: 0.109, WCRT: 0.470, Next Release:  7.300
Task 5- Release:  6.100, Completion:  7.172, Response: 1.072, WCRT: 1.091, Next Release:  7.300
Task 4- Release:  6.100, Completion:  7.264, Response: 1.164, WCRT: 1.184, Next Release:  7.300
Task 1- Release:  7.300, Completion:  7.398, Response: 0.098, WCRT: 0.470, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.491, Response: 0.191, WCRT: 0.649, Next Release:  7.700
Task 3- Release:  7.300, Completion:  7.589, Response: 0.289, WCRT: 0.821, Next Release:  7.900
Task 1- Release:  7.600, Completion:  7.719, Response: 0.119, WCRT: 0.470, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.811, Response: 0.111, WCRT: 0.649, Next Release:  8.100
Task 6- Release:  7.300, Completion:  7.865, Response: 0.565, WCRT: 0.895, Next Release:  8.500
Task 1- Release:  7.900, Completion:  7.999, Response: 0.099, WCRT: 0.470, Next Release:  8.200
Task 3- Release:  7.900, Completion:  8.091, Response: 0.191, WCRT: 0.821, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.202, Response: 0.102, WCRT: 0.649, Next Release:  8.500
Task 1- Release:  8.200, Completion:  8.309, Response: 0.109, WCRT: 0.470, Next Release:  8.500
Task 5- Release:  7.300, Completion:  8.335, Response: 1.035, WCRT: 1.091, Next Release:  8.500
Task 4- Release:  7.300, Completion:  8.428, Response: 1.128, WCRT: 1.184, Next Release:  8.500
Task 1- Release:  8.500, Completion:  8.596, Response: 0.096, WCRT: 0.470, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.700, Response: 0.200, WCRT: 0.649, Next Release:  8.900
Task 3- Release:  8.500, Completion:  8.794, Response: 0.294, WCRT: 0.821, Next Release:  9.100
Task 1- Release:  8.800, Completion:  8.898, Response: 0.098, WCRT: 0.470, Next Release:  9.100
Task 2- Release:  8.900, Completion:  8.997, Response: 0.097, WCRT: 0.649, Next Release:  9.300
Task 6- Release:  8.500, Completion:  9.076, Response: 0.576, WCRT: 0.895, Next Release:  9.700
Task 1- Release:  9.100, Completion:  9.194, Response: 0.094, WCRT: 0.470, Next Release:  9.400
Task 3- Release:  9.100, Completion:  9.286, Response: 0.186, WCRT: 0.821, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.399, Response: 0.099, WCRT: 0.649, Next Release:  9.700
Task 1- Release:  9.400, Completion:  9.501, Response: 0.101, WCRT: 0.470, Next Release:  9.700
Task 5- Release:  8.500, Completion:  9.540, Response: 1.040, WCRT: 1.091, Next Release:  9.700
Task 4- Release:  8.500, Completion:  9.634, Response: 1.134, WCRT: 1.184, Next Release:  9.700
Task 1- Release:  9.700, Completion:  9.800, Response: 0.100, WCRT: 0.470, Next Release: 10.000
Task 2- Release:  9.700, Completion:  9.895, Response: 0.195, WCRT: 0.649, Next Release: 10.100
Task 3- Release:  9.700, Completion:  9.991, Response: 0.291, WCRT: 0.821, Next Release: 10.300
Task 1- Release: 10.000, Completion: 10.104, Response: 0.104, WCRT: 0.470, Next Release: 10.300
Task 2- Release: 10.100, Completion: 10.199, Response: 0.099, WCRT: 0.649, Next Release: 10.500
Task 6- Release:  9.700, Completion: 10.276, Response: 0.576, WCRT: 0.895, Next Release: 10.900
Task 1- Release: 10.300, Completion: 10.398, Response: 0.098, WCRT: 0.470, Next Release: 10.600
Task 3- Release: 10.300, Completion: 10.491, Response: 0.191, WCRT: 0.821, Next Release: 10.900
Task 2- Release: 10.500, Completion: 10.595, Response: 0.095, WCRT: 0.649, Next Release: 10.900
Task 1- Release: 10.600, Completion: 10.708, Response: 0.108, WCRT: 0.470, Next Release: 10.900
Task 5- Release:  9.700, Completion: 10.739, Response: 1.039, WCRT: 1.091, Next Release: 10.900
Task 4- Release:  9.700, Completion: 10.830, Response: 1.130, WCRT: 1.184, Next Release: 10.900
Task 1- Release: 10.900, Completion: 11.000, Response: 0.100, WCRT: 0.470, Next Release: 11.200
Task 2- Release: 10.900, Completion: 11.092, Response: 0.192, WCRT: 0.649, Next Release: 11.300
Task 3- Release: 10.900, Completion: 11.186, Response: 0.286, WCRT: 0.821, Next Release: 11.500
Task 1- Release: 11.200, Completion: 11.300, Response: 0.100, WCRT: 0.470, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.399, Response: 0.099, WCRT: 0.649, Next Release: 11.700
Task 6- Release: 10.900, Completion: 11.474, Response: 0.574, WCRT: 0.895, Next Release: 12.100
Task 1- Release: 11.500, Completion: 11.607, Response: 0.107, WCRT: 0.470, Next Release: 11.800
Task 3- Release: 11.500, Completion: 11.703, Response: 0.203, WCRT: 0.821, Next Release: Task 2- Release: 11.700, Completion: 11.797, Response: 0.097, WCRT: 0.649, Next Release: 12.100
12.100
Task 1- Release: 11.800, Completion: 11.903, Response: 0.103, WCRT: 0.470, Next Release: 12.100
Task 5- Release: 10.900, Completion: 11.949, Response: 1.049, WCRT: 1.091, Next Release: 12.100
Task 4- Release: 10.900, Completion: 12.043, Response: 1.143, WCRT: 1.184, Next Release: 12.100
Task 1- Release: 12.100, Completion: 12.209, Response: 0.109, WCRT: 0.470, Next Release: 12.400
Task 2- Release: 12.100, Completion: 12.302, Response: 0.202, WCRT: 0.649, Next Release: 12.500
Task 3- Release: 12.100, Completion: 12.398, Response: 0.298, WCRT: 0.821, Next Release: 12.700
Task 1- Release: 12.400, Completion: 12.507, Response: 0.107, WCRT: 0.470, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.608, Response: 0.108, WCRT: 0.649, Next Release: 12.900
Task 6- Release: 12.100, Completion: 12.693, Response: 0.593, WCRT: 0.895, Next Release: 13.300
Task 1- Release: 12.700, Completion: 12.802, Response: 0.102, WCRT: 0.470, Next Release: 13.000
Task 3- Release: 12.700, Completion: 12.895, Response: 0.195, WCRT: 0.821, Next Release: 13.300
Task 2- Release: 12.900, Completion: 13.002, Response: 0.102, WCRT: Task 1- Release: 13.000, Completion: 13.095, Response: 0.095, WCRT: 0.470, Next Release: 13.300
0.649, Next Release: 13.300
Task 5- Release: 12.100, Completion: 13.158, Response: 1.058, WCRT: 1.091, Next Release: 13.300
Task 4- Release: 12.100, Completion: 13.251, Response: 1.151, WCRT: 1.184, Next Release: 13.300
Task 1- Release: 13.300, Completion: 13.399, Response: 0.099, WCRT: 0.470, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.492, Response: 0.192, WCRT: 0.649, Next Release: 13.700
Task 3- Release: 13.300, Completion: 13.584, Response: 0.284, WCRT: 0.821, Next Release: 13.900
Task 1- Release: 13.600, Completion: 13.714, Response: 0.114, WCRT: 0.470, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.806, Response: 0.106, WCRT: 0.649, Next Release: 14.100
Task 6- Release: 13.300, Completion: 13.882, Response: 0.582, WCRT: 0.895, Next Release: 14.500
Task 1- Release: 13.900, Completion: 13.998, Response: 0.098, WCRT: 0.470, Next Release: 14.200
Task 3- Release: 13.900, Completion: 14.092, Response: 0.192, WCRT: 0.821, Next Release: 14.500
Task 2- Release: 14.100, Completion: 14.195, Response: 0.095, WCRT: 0.649, Next Release: 14.500
Task 1- Release: 14.200, Completion: 14.295, Response: 0.095, WCRT: 0.470, Next Release: 14.500
Task 5- Release: 13.300, Completion: 14.350, Response: 1.050, WCRT: 1.091, Next Release: 14.500
Task 4- Release: 13.300, Completion: 14.442, Response: 1.142, WCRT: 1.184, Next Release: 14.500
Task 1- Release: 14.500, Completion: 14.594, Response: 0.094, WCRT: 0.470, Next Release: 14.800
Task 2- Release: 14.500, Completion: 14.694, Response: 0.194, WCRT: 0.649, Next Release: 14.900
Task 3- Release: 14.500, Completion: 14.792, Response: 0.292, WCRT: 0.821, Next Release: 15.100
Task 1- Release: 14.800, Completion: 14.898, Response: 0.098, WCRT: 0.470, Next Release: 15.100
Task 2- Release: 14.900, Completion: 14.995, Response: 0.094, WCRT: 0.649, Next Release: 15.300
Task 6- Release: 14.500, Completion: 15.079, Response: 0.579, WCRT: 0.895, Next Release: 15.700
Task 1- Release: 15.100, Completion: 15.199, Response: 0.099, WCRT: 0.470, Next Release: 15.400
Task 3- Release: 15.100, Completion: 15.290, Response: 0.190, WCRT: 0.821, Next Release: 15.700
Task 5- Release: 14.500, Completion: 15.358, Response: 0.858, WCRT: 1.091, Next Release: 15.700
Task 4- Release: 14.500, Completion: 15.450, Response: 0.950, WCRT: 1.184, Next Release: 15.700
Task 1- Release: 15.400, Completion: 15.544, Response: 0.144, WCRT: 0.470, Next Release: 15.700
Task 2- Release: 15.300, Completion: 15.637, Response: 0.337, WCRT: 0.649, Next Release: 15.700
Task 1- Release: 15.700, Completion: 15.947, Response: 0.247, WCRT: 0.470, Next Release: 16.000
Task 1- Release: 16.000, Completion: 16.110, Response: 0.110, WCRT: 0.470, Next Release: 16.300
Task 2- Release: 15.700, Completion: 16.131, Response: 0.431, WCRT: 0.649, Next Release: 16.100 ==> Task 2 violates Deadline!
Task 2- Release: 16.100, Completion: 16.228, Response: 0.128, WCRT: 0.649, Next Release: 16.500
Task 1- Release: 16.300, Completion: 16.401, Response: 0.101, WCRT: 0.470, Next Release: 16.600
Task 3- Release: 15.700, Completion: 16.414, Response: 0.714, WCRT: 0.821, Next Release: 16.300 ==> Task 3 violates Deadline!
Task 2- Release: 16.500, Completion: 16.601, Response: Task 1- Release: 16.600, Completion: 16.693, Response: 0.093, WCRT: 0.470, Next Release: 16.900
0.101, WCRT: 0.649, Next Release: 16.900
Task 3- Release: 16.300, Completion: 16.704, Response: 0.404, WCRT: 0.821, Next Release: 16.900
Task 6- Release: 15.700, Completion: 16.811, Response: 1.111, WCRT: 1.111, Next Release: 16.900
Task 5- Release: 15.700, Completion: 16.904, Response: 1.204, WCRT: 1.204, Next Release: 16.900 ==> Task 5 violates Deadline!
Task 1- Release: 16.900, Completion: 16.998, Response: 0.098, WCRT: 0.470, Next Release: 17.200
Task 2- Release: 16.900, Completion: 17.097, Response: 0.197, WCRT: 0.649, Next Release: 17.300
Task 3- Release: 16.900, Completion: 17.190, Response: 0.290, WCRT: 0.821, Next Release: 17.500
Task 1- Release: 17.200, Completion: 17.296, Response: 0.096, WCRT: 0.470, Next Release: 17.500
Task 2- Release: 17.300, Completion: 17.409, Response: 0.109, WCRT: 0.649, Next Release: 17.700
Task 6- Release: 16.900, Completion: 17.476, Response: 0.576, WCRT: 1.111, Next Release: 18.100
Task 1- Release: 17.500, Completion: 17.595, Response: 0.095, WCRT: 0.470, Next Release: 17.800
Task 3- Release: 17.500, Completion: 17.687, Response: 0.187, WCRT: 0.821, Next Release: 18.100
Task 1- Release: 17.800, Completion: 17.895, Response: 0.095, WCRT: 0.470, Next Release: 18.100
Task 2- Release: 17.700, Completion: 17.903, Response: 0.203, WCRT: 0.649, Next Release: 18.100
Task 5- Release: 16.900, Completion: 17.944, Response: 1.044, WCRT: 1.204, Next Release: 18.100
Task 4- Release: 15.700, Completion: 18.038, Response: 2.338, WCRT: 2.338, Next Release: 16.900 ==> Task 4 violates Deadline!
Task 1- Release: 18.100, Completion: 18.200, Response: 0.100, WCRT: 0.470, Next Release: 18.400
Task 2- Release: 18.100, Completion: 18.312, Response: 0.212, WCRT: 0.649, Next Release: 18.500
Task 1- Release: 18.400, Completion: 18.494, Response: 0.094, WCRT: 0.470, Next Release: 18.700
Task 3- Release: 18.100, Completion: 18.502, Response: 0.402, WCRT: 0.821, Next Release: 18.700
Task 2- Release: 18.500, Completion: 18.602, Response: 0.102, WCRT: 0.649, Next Release: 18.900
Task 6- Release: 18.100, Completion: 18.689, Response: 0.588, WCRT: 1.111, Next Release: 19.300
Task 1- Release: 18.700, Completion: 18.793, Response: 0.093, WCRT: 0.470, Next Release: 19.000
Task 3- Release: 18.700, Completion: 18.885, Response: 0.185, WCRT: 0.821, Next Release: 19.300
Task 2- Release: 18.900, Completion: 18.997, Response: 0.097, WCRT: 0.649, Next Release: 19.300
Task 1- Release: 19.000, Completion: 19.101, Response: 0.101, WCRT: 0.470, Next Release: 19.300
Task 5- Release: 18.100, Completion: 19.160, Response: 1.060, WCRT: 1.204, Next Release: 19.300
Task 4- Release: 16.900, Completion: 19.196, Response: 2.295, WCRT: 2.338, Next Release: 18.100 ==> Task 4 violates Deadline!
Task 4- Release: 18.100, Completion: 19.288, Response: 1.188, WCRT: 2.338, Next Release: 19.300
Task 1- Release: 19.300, Completion: 19.401, Response: 0.101, WCRT: 0.470, Next Release: 19.600
Task 2- Release: 19.300, Completion: 19.495, Response: 0.195, WCRT: 0.649, Next Release: 19.700
Task 3- Release: 19.300, Completion: 19.588, Response: 0.288, WCRT: 0.821, Next Release: 19.900
Task 1- Release: 19.600, Completion: 19.700, Response: 0.100, WCRT: 0.470, Next Release: 19.900
Task 2- Release: 19.700, Completion: 19.803, Response: 0.103, WCRT: 0.649, Next Release: 20.100
Task 6- Release: 19.300, Completion: 19.865, Response: 0.565, WCRT: 1.111, Next Release: 20.500
Task 1- Release: 19.900, Completion: 19.998, Response: 0.098, WCRT: 0.470, Next Release: 20.200
Task 3- Release: 19.900, Completion: 20.091, Response: 0.191, WCRT: 0.821, Next Release: 20.500
Task 1- Release: 20.200, Completion: 20.295, Response: 0.095, WCRT: 0.470, Next Release: 20.500
Task 2- Release: 20.100, Completion: 20.297, Response: 0.197, WCRT: 0.649, Next Release: 20.500
Task 5- Release: 19.300, Completion: 20.329, Response: 1.029, WCRT: 1.204, Next Release: 20.500
Task 4- Release: 19.300, Completion: 20.422, Response: 1.122, WCRT: 2.338, Next Release: 20.500
Task 1- Release: 20.500, Completion: 20.598, Response: 0.098, WCRT: 0.470, Next Release: 20.800
Task 2- Release: 20.500, Completion: 20.690, Response: 0.190, WCRT: 0.649, Next Release: 20.900
Task 3- Release: 20.500, Completion: 20.782, Response: 0.282, WCRT: 0.821, Next Release: 21.100
Task 1- Release: 20.800, Completion: 20.893, Response: 0.093, WCRT: 0.470, Next Release: 21.100
Task 2- Release: 20.900, Completion: 20.997, Response: 0.097, WCRT: 0.649, Next Release: 21.300
Task 6- Release: 20.500, Completion: 21.061, Response: 0.561, WCRT: 1.111, Next Release: 21.700
Task 1- Release: 21.100, Completion: 21.194, Response: 0.094, WCRT: 0.470, Next Release: 21.400
Task 3- Release: 21.100, Completion: 21.286, Response: 0.186, WCRT: 0.821, Next Release: 21.700
Task 2- Release: 21.300, Completion: 21.398, Response: 0.098, WCRT: 0.649, Next Release: 21.700
Task 1- Release: 21.400, Completion: 21.500, Response: 0.100, WCRT: 0.470, Next Release: 21.700
Task 5- Release: 20.500, Completion: 21.525, Response: 1.025, WCRT: 1.204, Next Release: 21.700
Task 4- Release: 20.500, Completion: 21.618, Response: 1.118, WCRT: 2.338, Next Release: 21.700
Task 1- Release: 21.700, Completion: 21.802, Response: 0.102, WCRT: 0.470, Next Release: 22.000
Task 2- Release: 21.700, Completion: 21.908, Response: 0.208, WCRT: 0.649, Next Release: 22.100
Task 1- Release: 22.000, Completion: 22.104, Response: 0.104, WCRT: 0.470, Next Release: 22.300
Task 2- Release: 22.100, Completion: 22.203, Response: 0.103, WCRT: 0.649, Next Release: 22.500
Task 3- Release: 21.700, Completion: 22.212, Response: 0.512, WCRT: 0.821, Next Release: 22.300
Task 6- Release: 21.700, Completion: 22.304, Response: 0.604, WCRT: 1.111, Next Release: 22.900
Task 1- Release: 22.300, Completion: 22.398, Response: 0.098, WCRT: 0.470, Next Release: 22.600
Task 3- Release: 22.300, Completion: 22.491, Response: 0.191, WCRT: 0.821, Next Release: 22.900
Task 2- Release: 22.500, Completion: 22.593, Response: 0.093, WCRT: 0.649, Next Release: 22.900
Task 1- Release: 22.600, Completion: 22.698, Response: 0.098, WCRT: 0.470, Next Release: 22.900
Task 5- Release: 21.700, Completion: 22.768, Response: 1.068, WCRT: 1.204, Next Release: 22.900
Task 4- Release: 21.700, Completion: 22.865, Response: 1.165, WCRT: 2.338, Next Release: 22.900
Task 1- Release: 22.900, Completion: 22.995, Response: 0.095, WCRT: 0.470, Next Release: 23.200
Task 2- Release: 22.900, Completion: 23.088, Response: 0.188, WCRT: 0.649, Next Release: 23.300
Task 3- Release: 22.900, Completion: 23.181, Response: 0.281, WCRT: 0.821, Next Release: 23.500
Task 1- Release: 23.200, Completion: 23.294, Response: 0.094, WCRT: 0.470, Next Release: 23.500
Task 2- Release: 23.300, Completion: 23.396, Response: 0.096, WCRT: 0.649, Next Release: 23.700
Task 6- Release: 22.900, Completion: 23.460, Response: 0.560, WCRT: 1.111, Next Release: 24.100
Task 1- Release: 23.500, Completion: 23.598, Response: 0.098, WCRT: 0.470, Next Release: 23.800
Task 3- Release: 23.500, Completion: 23.696, Response: 0.196, WCRT: 0.821, Next Release: 24.100
Task 2- Release: 23.700, Completion: 23.798, Response: 0.098, WCRT: 0.649, Next Release: 24.100
Task 1- Release: 23.800, Completion: 23.911, Response: 0.111, WCRT: 0.470, Next Release: 24.100
Task 5- Release: 22.900, Completion: 23.936, Response: 1.036, WCRT: 1.204, Next Release: 24.100
Task 4- Release: 22.900, Completion: 24.029, Response: 1.129, WCRT: 2.338, Next Release: 24.100
Task 1- Release: 24.100, Completion: 24.201, Response: 0.101, WCRT: 0.470, Next Release: 24.400
Task 2- Release: 24.100, Completion: 24.300, Response: 0.200, WCRT: 0.649, Next Release: 24.500
Task 3- Release: 24.100, Completion: 24.396, Response: 0.296, WCRT: 0.821, Next Release: 24.700
Task 6- Release: 24.100, Completion: 24.488, Response: 0.388, WCRT: 1.111, Next Release: 25.300
Task 5- Release: 24.100, Completion: 24.580, Response: 0.479, WCRT: 1.204, Next Release: 25.300
Task 4- Release: 24.100, Completion: 24.671, Response: 0.571, WCRT: 2.338, Next Release: 25.300
Task 1- Release: 24.400, Completion: 25.155, Response: 0.755, WCRT: 0.755, Next Release: 24.700 ==> Task 1 violates Deadline!
Task 1- Release: 24.700, Completion: 25.248, Response: 0.548, WCRT: 0.755, Next Release: 25.000 ==> Task 1 violates Deadline!
Task 1- Release: 25.000, Completion: 25.342, Response: 0.342, WCRT: 0.755, Next Release: 25.300 ==> Task 1 violates Deadline!
Task 1- Release: 25.300, Completion: 25.438, Response: 0.138, WCRT: 0.755, Next Release: 25.600
Task 2- Release: 24.500, Completion: 25.531, Response: 1.031, WCRT: 1.031, Next Release: 24.900 ==> Task 2 violates Deadline!
Task 1- Release: 25.600, Completion: 25.697, Response: 0.097, WCRT: 0.755, Next Release: 25.900
Task 2- Release: 24.900, Completion: 25.715, Response: 0.815, WCRT: 1.031, Next Release: 25.300 ==> Task 2 violates Deadline!
Task 2- Release: 25.300, Completion: 25.807, Response: 0.507, WCRT: 1.031, Next Release: 25.700 ==> Task 2 violates Deadline!
Task 1- Release: 25.900, Completion: 25.995, Response: 0.095, WCRT: 0.755, Next Release: 26.200
Task 2- Release: 25.700, Completion: 25.997, Response: 0.297, WCRT: 1.031, Next Release: 26.100
Task 3- Release: 24.700, Completion: 26.089, Response: 1.389, WCRT: 1.389, Next Release: 25.300 ==> Task 3 violates Deadline!
Task 1- Release: 26.200, Completion: 26.294, Response: 0.094, WCRT: 0.755, Next Release: 26.500
Task 2- Release: 26.100, Completion: 26.315, Response: 0.215, WCRT: 1.031, Next Release: 26.500
Task 3- Release: 25.300, Completion: 26.379, Response: 1.079, WCRT: 1.389, Next Release: 25.900 ==> Task 3 violates Deadline!
Task 3- Release: 25.900, Completion: 26.471, Response: 0.571, WCRT: 1.389, Next Release: 26.500
Task 1- Release: 26.500, Completion: 26.603, Response: 0.103, WCRT: 0.755, Next Release: 26.800
Task 2- Release: 26.500, Completion: 26.696, Response: 0.196, WCRT: 1.031, Next Release: 26.900
Task 3- Release: 26.500, Completion: 26.788, Response: 0.288, WCRT: 1.389, Next Release: 27.100
Task 1- Release: 26.800, Completion: 26.912, Response: 0.112, WCRT: 0.755, Next Release: 27.100
Task 2- Release: 26.900, Completion: 27.004, Response: 0.104, WCRT: 1.031, Next Release: 27.300
Task 6- Release: 25.300, Completion: 27.027, Response: 1.727, WCRT: 1.727, Next Release: 26.500 ==> Task 6 violates Deadline!
Task 1- Release: 27.100, Completion: 27.200, Response: 0.100, WCRT: 0.755, Next Release: 27.400
Task 3- Release: 27.100, Completion: 27.293, Response: 0.192, WCRT: 1.389, Next Release: 27.700
Task 2- Release: 27.300, Completion: 27.393, Response: 0.093, WCRT: 1.031, Next Release: 27.700
Task 6- Release: 26.500, Completion: 27.407, Response: 0.907, WCRT: 1.727, Next Release: 27.700
Task 1- Release: 27.400, Completion: 27.501, Response: 0.101, WCRT: 0.755, Next Release: 27.700
Task 5- Release: 25.300, Completion: 27.593, Response: 2.293, WCRT: 2.293, Next Release: 26.500 ==> Task 5 violates Deadline!
