Task 1- Release:  0.100, Completion:  0.196, Response: 0.096, WCRT: 0.096, Next Release:  0.400
Task 2- Release:  3.300, Completion:  3.427, Response: 0.127, WCRT: 0.127, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.519, Response: 0.119, WCRT: 0.153, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.806, Response: 0.107, WCRT: 0.153, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.811, Response: 0.111, WCRT: 0.127, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.903, Response: 0.203, WCRT: 0.221, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.124, Response: 0.125, WCRT: 0.153, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.225, Response: 0.125, WCRT: 0.127, Next Release:  4.500
Task 1- Release:  4.300, Completion:  4.402, Response: 0.103, WCRT: 0.153, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.404, Response: 0.104, WCRT: 0.221, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.624, Response: 0.125, WCRT: 0.127, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.720, Response: 0.120, WCRT: 0.153, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.019, Response: 0.119, WCRT: 0.153, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.023, Response: 0.123, WCRT: 0.127, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.121, Response: 0.221, WCRT: 0.221, Next Release:  5.500
Task 1- Release:  5.200, Completion:  5.313, Response: 0.113, WCRT: 0.153, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.401, Response: 0.101, WCRT: 0.127, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.617, Response: 0.117, WCRT: 0.153, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.619, Response: 0.119, WCRT: 0.221, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.822, Response: 0.122, WCRT: 0.127, Next Release:  6.100
Task 1- Release:  5.800, Completion:  5.917, Response: 0.117, WCRT: 0.153, Next Release:  6.100
Task 1- Release:  6.100, Completion:  6.214, Response: 0.114, WCRT: 0.153, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.214, Response: 0.114, WCRT: 0.127, Next Release:  6.500
Task 3- Release:  6.100, Completion:  6.311, Response: 0.211, WCRT: 0.221, Next Release:  6.700
Task 1- Release:  6.400, Completion:  6.513, Response: 0.113, WCRT: 0.153, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.593, Response: 0.093, WCRT: 0.127, Next Release:  6.900
Task Task 1- Release:  6.700, Completion:  6.824, Response: 0.124, WCRT: 0.153, Next Release:  7.000
3- Release:  6.700, Completion:  6.824, Response: 0.124, WCRT: 0.221, Next Release:  7.300
Task 2- Release:  6.900, Completion:  7.015, Response: 0.116, WCRT: 0.127, Next Release:  7.300
Task 1- Release:  7.000, Completion:  7.115, Response: 0.115, WCRT: 0.153, Next Release:  7.300
Task 2- Release:  7.300, Completion:  7.397, Response: 0.097, WCRT: 0.127, Next Release:  7.700
Task 1- Release:  7.300, Completion:  7.398, Response: 0.098, WCRT: 0.153, Next Release:  7.600
Task 3- Release:  7.300, Completion:  7.491, Response: 0.191, WCRT: 0.221, Next Release:  7.900
Task 1- Release:  7.600, Completion:  7.764, Response: 0.164, WCRT: 0.164, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.818, Response: 0.119, WCRT: 0.127, Next Release:  8.100
Task 1- Release:  7.900, Completion:  8.011, Response: 0.111, WCRT: 0.164, Next Release:  8.200
Task 3- Release:  7.900, Completion:  8.013, Response: 0.113, WCRT: 0.221, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.222, Response: 0.123, WCRT: 0.127, Next Release:  8.500
Task 1- Release:  8.200, Completion:  8.319, Response: 0.119, WCRT: 0.164, Next Release:  8.500
Task 2- Release:  8.500, Completion:  8.614, Response: 0.115, WCRT: 0.127, Next Release:  8.900
Task 1- Release:  8.500, Completion:  8.615, Response: 0.116, WCRT: 0.164, Next Release:  8.800
Task 3- Release:  8.500, Completion:  8.715, Response: 0.215, WCRT: 0.221, Next Release:  9.100
Task 1- Release:  8.800, Completion:  8.919, Response: 0.119, WCRT: 0.164, Next Release:  9.100
Task 2- Release:  8.900, Completion:  9.024, Response: 0.125, WCRT: 0.127, Next Release:  9.300
Task 1- Release:  9.100, Completion:  9.224, Response: 0.124, WCRT: 0.164, Next Release:  9.400
Task 3- Release:  9.100, Completion:  9.228, Response: 0.129, WCRT: 0.221, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.414, Response: 0.115, WCRT: 0.127, Next Release:  9.700
Task 1- Release:  9.400, Completion:  9.508, Response: 0.108, WCRT: 0.164, Next Release:  9.700
Task Task 2- Release:  9.700, Completion:  9.809, Response: 1- Release:  9.700, Completion:  9.809, Response: 0.109, WCRT: 0.164, Next Release: 10.000
0.109, WCRT: 0.127, Next Release: 10.100
Task 3- Release:  9.700, Completion:  9.906, Response: 0.207, WCRT: 0.221, Next Release: 10.300
Task 1- Release: 10.000, Completion: 10.127, Response: 0.127, WCRT: 0.164, Next Release: 10.300
Task 2- Release: 10.100, Completion: 10.219, Response: 0.119, WCRT: 0.127, Next Release: 10.500
Task 1- Release: 10.300, Completion: 10.416, Response: 0.116, WCRT: 0.164, Next Release: 10.600
Task 3- Release: 10.300, Completion: 10.421, Response: 0.121, WCRT: 0.221, Next Release: 10.900
Task 2- Release: 10.500, Completion: 10.610, Response: 0.111, WCRT: 0.127, Next Release: 10.900
Task 1- Release: 10.600, Completion: 10.729, Response: 0.129, WCRT: 0.164, Next Release: 10.900
Task 1- Release: 10.900, Completion: 11.028, Response: 0.128, WCRT: 0.164, Next Release: 11.200
Task 2- Release: 10.900, Completion: 11.031, Response: 0.131, WCRT: 0.131, Next Release: 11.300
Task 3- Release: 10.900, Completion: 11.128, Response: 0.228, WCRT: 0.228, Next Release: 11.500
Task 1- Release: 11.200, Completion: 11.317, Response: 0.118, WCRT: 0.164, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.420, Response: 0.121, WCRT: 0.131, Next Release: 11.700
Task 3- Release: 11.500, Completion: 11.628, Response: 0.128, WCRT: 0.228, Next Release: 12.100
Task 1- Release: 11.500, Completion: 11.628, Response: 0.128, WCRT: 0.164, Next Release: 11.800
Task 2- Release: 11.700, Completion: 11.805, Response: 0.105, WCRT: 0.131, Next Release: 12.100
Task 1- Release: 11.800, Completion: 11.898, Response: 0.098, WCRT: 0.164, Next Release: 12.100
Task 1- Release: 12.100, Completion: 12.211, Response: 0.111, WCRT: 0.164, Next Release: 12.400
Task 2- Release: 12.100, Completion: 12.215, Response: 0.115, WCRT: 0.131, Next Release: 12.500
Task 3- Release: 12.100, Completion: 12.314, Response: 0.214, WCRT: 0.228, Next Release: 12.700
Task 1- Release: 12.400, Completion: 12.524, Response: 0.124, WCRT: 0.164, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.602, Response: 0.103, WCRT: 0.131, Next Release: 12.900
Task 1- Release: 12.700, Completion: 12.803, Response: 0.103, WCRT: 0.164, Next Release: 13.000
Task 3- Release: 12.700, Completion: 12.808, Response: 0.108, WCRT: 0.228, Next Release: 13.300
Task 2- Release: 12.900, Completion: 13.030, Response: 0.130, WCRT: 0.131, Next Release: 13.300
Task 1- Release: 13.000, Completion: 13.126, Response: 0.126, WCRT: 0.164, Next Release: 13.300
Task 1- Release: 13.300, Completion: 13.410, Response: 0.110, WCRT: 0.164, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.410, Response: 0.110, WCRT: 0.131, Next Release: 13.700
Task 3- Release: 13.300, Completion: 13.510, Response: 0.211, WCRT: 0.228, Next Release: 13.900
Task 1- Release: 13.600, Completion: 13.723, Response: 0.123, WCRT: 0.164, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.800, Response: 0.100, WCRT: 0.131, Next Release: 14.100
Task 1- Release: 13.900, Completion: 14.015, Response: 0.115, WCRT: 0.164, Next Release: 14.200
Task 3- Release: 13.900, Completion: 14.016, Response: 0.116, WCRT: 0.228, Next Release: 14.500
Task 2- Release: 14.100, Completion: 14.218, Response: 0.118, WCRT: 0.131, Next Release: 14.500
Task 1- Release: 14.200, Completion: 14.318, Response: 0.118, WCRT: 0.164, Next Release: 14.500
Task 2- Release: 14.500, Completion: 14.609, Response: 0.110, WCRT: 0.131, Next Release: 14.900
Task 1- Release: 14.500, Completion: 14.611, Response: 0.112, WCRT: 0.164, Next Release: 14.800
Task 3- Release: 14.500, Completion: 14.719, Response: 0.219, WCRT: 0.228, Next Release: 15.100
Task 1- Release: 14.800, Completion: 14.922, Response: 0.122, WCRT: 0.164, Next Release: 15.100
Task 2- Release: 14.900, Completion: 15.015, Response: 0.115, WCRT: 0.131, Next Release: 15.300
Task 1- Release: 15.100, Completion: 15.205, Response: 0.105, WCRT: 0.164, Next Release: 15.400
Task 3- Release: 15.100, Completion: 15.205, Response: 0.106, WCRT: 0.228, Next Release: 15.700
Task 2- Release: 15.300, Completion: 15.427, Response: 0.127, WCRT: 0.131, Next Release: 15.700
Task 1- Release: 15.400, Completion: 15.504, Response: 0.104, WCRT: 0.164, Next Release: 15.700
Task 2- Release: 15.700, Completion: 15.810, Response: 0.111, WCRT: 0.131, Next Release: 16.100
Task 1- Release: 15.700, Completion: 15.813, Response: 0.113, WCRT: 0.164, Next Release: 16.000
Task 3- Release: 15.700, Completion: 15.907, Response: 0.207, WCRT: 0.228, Next Release: 16.300
Task 1- Release: 16.000, Completion: 16.118, Response: 0.118, WCRT: 0.164, Next Release: 16.300
Task 2- Release: 16.100, Completion: 16.237, Response: 0.138, WCRT: 0.138, Next Release: 16.500
Task 1- Release: 16.300, Completion: 16.413, Response: 0.113, WCRT: 0.164, Next Release: 16.600
Task 3- Release: 16.300, Completion: 16.414, Response: 0.114, WCRT: 0.228, Next Release: 16.900
Task 2- Release: 16.500, Completion: 16.613, Response: 0.113, WCRT: 0.138, Next Release: 16.900
Task 1- Release: 16.600, Completion: 16.730, Response: 0.130, WCRT: 0.164, Next Release: 16.900
Task 2- Release: 16.900, Completion: 17.014, Response: 0.114, WCRT: 0.138, Next Release: 17.300
Task 1- Release: 16.900, Completion: 17.014, Response: 0.115, WCRT: 0.164, Next Release: 17.200
Task 3- Release: 16.900, Completion: 17.110, Response: 0.210, WCRT: 0.228, Next Release: 17.500
Task 1- Release: 17.200, Completion: 17.317, Response: 0.117, WCRT: 0.164, Next Release: 17.500
Task 2- Release: 17.300, Completion: 17.414, Response: 0.114, WCRT: 0.138, Next Release: 17.700
Task 1- Release: 17.500, Completion: 17.612, Response: 0.112, WCRT: 0.164, Next Release: 17.800
Task 3- Release: 17.500, Completion: 17.616, Response: 0.117, WCRT: 0.228, Next Release: 18.100
Task 2- Release: 17.700, Completion: 17.823, Response: 0.123, WCRT: 0.138, Next Release: 18.100
Task 1- Release: 17.800, Completion: 17.922, Response: 0.122, WCRT: 0.164, Next Release: 18.100
Task 2- Release: 18.100, Completion: 18.210, Response: 0.110, WCRT: 0.138, Next Release: 18.500
Task 1- Release: 18.100, Completion: 18.211, Response: 0.111, WCRT: 0.164, Next Release: 18.400
Task 3- Release: 18.100, Completion: 18.305, Response: 0.205, WCRT: 0.228, Next Release: 18.700
Task 1- Release: 18.400, Completion: 18.530, Response: 0.130, WCRT: 0.164, Next Release: 18.700
Task 2- Release: 18.500, Completion: 18.634, Response: 0.134, WCRT: 0.138, Next Release: 18.900
Task 1Task 3- Release: 18.700, Completion: 18.803, Response: 0.104, WCRT: 0.228, Next Release: 19.300
- Release: 18.700, Completion: 18.803, Response: 0.103, WCRT: 0.164, Next Release: 19.000
Task 2- Release: 18.900, Completion: 19.020, Response: 0.121, WCRT: 0.138, Next Release: 19.300
Task 1- Release: 19.000, Completion: 19.119, Response: 0.119, WCRT: 0.164, Next Release: 19.300
Task 1- Release: 19.300, Completion: 19.433, Response: 0.133, WCRT: 0.164, Next Release: 19.600
Task 2- Release: 19.300, Completion: 19.434, Response: 0.135, WCRT: 0.138, Next Release: 19.700
Task 3- Release: 19.300, Completion: 19.533, Response: 0.233, WCRT: 0.233, Next Release: 19.900
Task 1- Release: 19.600, Completion: 19.706, Response: 0.106, WCRT: 0.164, Next Release: 19.900
Task 2- Release: 19.700, Completion: 19.809, Response: 0.109, WCRT: 0.138, Next Release: 20.100
Task Task 1- Release: 19.900, Completion: 20.009, Response: 0.109, WCRT: 0.164, Next Release: 20.200
3- Release: 19.900, Completion: 20.009, Response: 0.109, WCRT: 0.233, Next Release: 20.500
Task 2- Release: 20.100, Completion: 20.232, Response: 0.133, WCRT: 0.138, Next Release: 20.500
Task 1- Release: 20.200, Completion: 20.330, Response: 0.131, WCRT: 0.164, Next Release: 20.500
Task 1- Release: 20.500, Completion: 20.623, Response: 0.124, WCRT: 0.164, Next Release: 20.800
Task 2- Release: 20.500, Completion: 20.624, Response: 0.125, WCRT: 0.138, Next Release: 20.900
Task 3- Release: 20.500, Completion: 20.724, Response: 0.225, WCRT: 0.233, Next Release: 21.100
Task 1- Release: 20.800, Completion: 20.920, Response: 0.120, WCRT: 0.164, Next Release: 21.100
Task 2- Release: 20.900, Completion: 20.998, Response: 0.098, WCRT: 0.138, Next Release: 21.300
Task 3- Release: 21.100, Completion: 21.224, Response: 0.124, WCRT: 0.233, Next Release: 21.700Task 1- Release: 21.100, Completion: 21.224, Response: 0.124, WCRT: 0.164, Next Release: 21.400

Task 2- Release: 21.300, Completion: 21.414, Response: 0.114, WCRT: 0.138, Next Release: 21.700
Task 1- Release: 21.400, Completion: 21.513, Response: 0.113, WCRT: 0.164, Next Release: 21.700
Task 1- Release: 21.700, Completion: 21.814, Response: 0.114, WCRT: 0.164, Next Release: 22.000
Task 2- Release: 21.700, Completion: 21.816, Response: 0.117, WCRT: 0.138, Next Release: 22.100
Task 3- Release: 21.700, Completion: 21.910, Response: 0.210, WCRT: 0.233, Next Release: 22.300
Task 1- Release: 22.000, Completion: 22.119, Response: 0.120, WCRT: 0.164, Next Release: 22.300
Task 2- Release: 22.100, Completion: 22.225, Response: 0.125, WCRT: 0.138, Next Release: 22.500
Task 1- Release: 22.300, Completion: 22.412, Response: 0.113, WCRT: 0.164, Next Release: 22.600
Task 3- Release: 22.300, Completion: 22.414, Response: 0.115, WCRT: 0.233, Next Release: 22.900
Task 2- Release: 22.500, Completion: 22.618, Response: 0.118, WCRT: 0.138, Next Release: 22.900
Task 1- Release: 22.600, Completion: 22.714, Response: 0.114, WCRT: 0.164, Next Release: 22.900
Task 2- Release: 22.900, Completion: 23.018, Response: 0.119, WCRT: 0.138, Next Release: 23.300
Task 1- Release: 22.900, Completion: 23.021, Response: 0.121, WCRT: 0.164, Next Release: 23.200
Task 3- Release: 22.900, Completion: 23.115, Response: 0.215, WCRT: 0.233, Next Release: 23.500
Task 1- Release: 23.200, Completion: 23.314, Response: 0.114, WCRT: 0.164, Next Release: 23.500
Task 2- Release: 23.300, Completion: 23.398, Response: 0.098, WCRT: 0.138, Next Release: 23.700
Task 1- Release: 23.500, Completion: 23.619, Response: 0.120, WCRT: 0.164, Next Release: 23.800
Task 3- Release: 23.500, Completion: 23.621, Response: 0.121, WCRT: 0.233, Next Release: 24.100
Task 2- Release: 23.700, Completion: 23.801, Response: 0.102, WCRT: 0.138, Next Release: 24.100
Task 1- Release: 23.800, Completion: 23.894, Response: 0.095, WCRT: 0.164, Next Release: 24.100
Task 1- Release: 24.100, Completion: 24.209, Response: 0.110, WCRT: 0.164, Next Release: 24.400
Task 2- Release: 24.100, Completion: 24.211, Response: 0.112, WCRT: 0.138, Next Release: 24.500
Task 3- Release: 24.100, Completion: 24.314, Response: 0.215, WCRT: 0.233, Next Release: 24.700
Task 1- Release: 24.400, Completion: 24.518, Response: 0.119, WCRT: 0.164, Next Release: 24.700
Task 2- Release: 24.500, Completion: 24.603, Response: 0.103, WCRT: 0.138, Next Release: 24.900
Task 1- Release: 24.700, Completion: 24.801, Response: 0.101, WCRT: 0.164, Next Release: 25.000
Task 3- Release: 24.700, Completion: 24.801, Response: 0.101, WCRT: 0.233, Next Release: 25.300
Task 2- Release: 24.900, Completion: 25.022, Response: 0.122, WCRT: 0.138, Next Release: 25.300
Task 1- Release: 25.000, Completion: 25.123, Response: 0.123, WCRT: 0.164, Next Release: 25.300
Task 2- Release: 25.300, Completion: 25.403, Response: 0.103, WCRT: 0.138, Next Release: 25.700
Task 1- Release: 25.300, Completion: 25.403, Response: 0.103, WCRT: 0.164, Next Release: 25.600
Task 3- Release: 25.300, Completion: 25.513, Response: 0.213, WCRT: 0.233, Next Release: 25.900
Task 1- Release: 25.600, Completion: 25.721, Response: 0.121, WCRT: 0.164, Next Release: 25.900
Task 2- Release: 25.700, Completion: 25.797, Response: 0.097, WCRT: 0.138, Next Release: 26.100
Task 1- Release: 25.900, Completion: 26.007, Response: 0.107, WCRT: 0.164, Next Release: 26.200
Task 3- Release: 25.900, Completion: 26.011, Response: 0.111, WCRT: 0.233, Next Release: 26.500
Task 2- Release: 26.100, Completion: 26.222, Response: 0.123, WCRT: 0.138, Next Release: 26.500
Task 1- Release: 26.200, Completion: 26.319, Response: 0.120, WCRT: 0.164, Next Release: 26.500
Task 3- Release: 26.500, Completion: 26.609, Response: 0.109, WCRT: 0.233, Next Release: 27.100
Task 2- Release: 26.500, Completion: 26.612, Response: 0.112, WCRT: 0.138, Next Release: 26.900
Task 1- Release: 26.500, Completion: 26.711, Response: 0.211, WCRT: 0.211, Next Release: 26.800
Task 1- Release: 26.800, Completion: 26.921, Response: 0.122, WCRT: 0.211, Next Release: 27.100
Task 2- Release: 26.900, Completion: 27.031, Response: 0.131, WCRT: 0.138, Next Release: 27.300
Task 3- Release: 27.100, Completion: 27.208, Response: 0.108, WCRT: 0.233, Next Release: 27.700
Task 1- Release: 27.100, Completion: 27.210, Response: 0.110, WCRT: 0.211, Next Release: 27.400
Task 2- Release: 27.300, Completion: 27.425, Response: 0.125, WCRT: 0.138, Next Release: 27.700
Task 1- Release: 27.400, Completion: 27.505, Response: 0.105, WCRT: 0.211, Next Release: 27.700
Task 1- Release: 27.700, Completion: 27.813, Response: 0.113, WCRT: 0.211, Next Release: 28.000
Task 2- Release: 27.700, Completion: 27.814, Response: 0.114, WCRT: 0.138, Next Release: 28.100
Task 3- Release: 27.700, Completion: 27.920, Response: 0.220, WCRT: 0.233, Next Release: 28.300
Task 1- Release: 28.000, Completion: 28.122, Response: 0.122, WCRT: 0.211, Next Release: 28.300
Task 2- Release: 28.100, Completion: 28.210, Response: 0.111, WCRT: 0.138, Next Release: 28.500
Task 1- Release: 28.300, Completion: 28.424, Response: 0.124, WCRT: 0.211, Next Release: 28.600
Task 3- Release: 28.300, Completion: 28.427, Response: 0.127, WCRT: 0.233, Next Release: 28.900
Task 2- Release: 28.500, Completion: 28.605, Response: 0.105, WCRT: 0.138, Next Release: 28.900
Task 1- Release: 28.600, Completion: 28.707, Response: 0.108, WCRT: 0.211, Next Release: 28.900
Task 1- Release: 28.900, Completion: 29.023, Response: 0.123, WCRT: 0.211, Next Release: 29.200
Task 2- Release: 28.900, Completion: 29.024, Response: 0.124, WCRT: 0.138, Next Release: 29.300
Task 3- Release: 28.900, Completion: 29.124, Response: 0.224, WCRT: 0.233, Next Release: 29.500
Task 1- Release: 29.200, Completion: 29.311, Response: 0.111, WCRT: 0.211, Next Release: 29.500
Task 2- Release: 29.300, Completion: 29.454, Response: 0.154, WCRT: 0.154, Next Release: 29.700
Task 1- Release: 29.500, Completion: 29.610, Response: 0.111, WCRT: 0.211, Next Release: 29.800
Task 3- Release: 29.500, Completion: 29.613, Response: 0.113, WCRT: 0.233, Next Release: 30.100
Task 2- Release: 29.700, Completion: 29.799, Response: 0.099, WCRT: 0.154, Next Release: 30.100
Task 1- Release: 29.800, Completion: 29.907, Response: 0.107, WCRT: 0.211, Next Release: 30.100
Task 2- Release: 30.100, Completion: 30.228, Response: 0.128, WCRT: 0.154, Next Release: 30.500
Task 1- Release: 30.100, Completion: 30.229, Response: 0.130, WCRT: 0.211, Next Release: 30.400
Task 3- Release: 30.100, Completion: 30.323, Response: 0.224, WCRT: 0.233, Next Release: 30.700
Task 1- Release: 30.400, Completion: 30.510, Response: 0.110, WCRT: 0.211, Next Release: 30.700
Task 2- Release: 30.500, Completion: 30.644, Response: 0.144, WCRT: 0.154, Next Release: 30.900
Task 3- Release: 30.700, Completion: 30.795, Response: 0.095, WCRT: 0.233, Next Release: 31.300
Task 1- Release: 30.700, Completion: 30.795, Response: 0.096, WCRT: 0.211, Next Release: 31.000
Task 2- Release: 30.900, Completion: 31.018, Response: 0.119, WCRT: 0.154, Next Release: 31.300
Task 1- Release: 31.000, Completion: 31.101, Response: 0.101, WCRT: 0.211, Next Release: 31.300
Task 1- Release: 31.300, Completion: 31.423, Response: 0.123, WCRT: 0.211, Next Release: 31.600
Task 2- Release: 31.300, Completion: 31.423, Response: 0.124, WCRT: 0.154, Next Release: 31.700
Task 3- Release: 31.300, Completion: 31.524, Response: 0.224, WCRT: 0.233, Next Release: 31.900
Task 1- Release: 31.600, Completion: 31.702, Response: 0.102, WCRT: 0.211, Next Release: 31.900
Task 2- Release: 31.700, Completion: 31.807, Response: 0.107, WCRT: 0.154, Next Release: 32.100
Task 3- Release: 31.900, Completion: 32.017, Response: 0.118, WCRT: 0.233, Next Release: 32.500
Task 1- Release: 31.900, Completion: 32.018, Response: 0.118, WCRT: 0.211, Next Release: 32.200
Task 2- Release: 32.100, Completion: 32.207, Response: 0.107, WCRT: 0.154, Next Release: 32.500
Task 1- Release: 32.200, Completion: 32.307, Response: 0.107, WCRT: 0.211, Next Release: 32.500
Task 2- Release: 32.500, Completion: 32.611, Response: 0.111, WCRT: 0.154, Next Release: 32.900
Task 1- Release: 32.500, Completion: 32.612, Response: 0.113, WCRT: 0.211, Next Release: 32.800
Task 3- Release: 32.500, Completion: 32.724, Response: 0.224, WCRT: 0.233, Next Release: 33.100
Task 1- Release: 32.800, Completion: 32.913, Response: 0.114, WCRT: 0.211, Next Release: 33.100
Task 2- Release: 32.900, Completion: 33.008, Response: 0.109, WCRT: 0.154, Next Release: 33.300
Task 1- Release: 33.100, Completion: 33.211, Response: 0.112, WCRT: 0.211, Next Release: 33.400
Task 3- Release: 33.100, Completion: 33.214, Response: 0.114, WCRT: 0.233, Next Release: 33.700
Task 2- Release: 33.300, Completion: 33.424, Response: 0.124, WCRT: 0.154, Next Release: 33.700
Task 1- Release: 33.400, Completion: 33.519, Response: 0.119, WCRT: 0.211, Next Release: 33.700
Task 1- Release: 33.700, Completion: 33.798, Response: 0.098, WCRT: 0.211, Next Release: 34.000
Task 2- Release: 33.700, Completion: 33.861, Response: 0.161, WCRT: 0.161, Next Release: 34.100
Task 3- Release: 33.700, Completion: 33.900, Response: 0.201, WCRT: 0.233, Next Release: 34.300
Task 1- Release: 34.000, Completion: 34.118, Response: 0.118, WCRT: 0.211, Next Release: 34.300
Task 2- Release: 34.100, Completion: 34.220, Response: 0.120, WCRT: 0.161, Next Release: 34.500
Task 3- Release: 34.300, Completion: 34.414, Response: 0.114, WCRT: 0.233, Next Release: 34.900
Task 1- Release: 34.300, Completion: 34.414, Response: 0.115, WCRT: 0.211, Next Release: 34.600
Task 2- Release: 34.500, Completion: 34.617, Response: 0.118, WCRT: 0.161, Next Release: 34.900
Task 1- Release: 34.600, Completion: 34.733, Response: 0.134, WCRT: 0.211, Next Release: 34.900
Task 1- Release: 34.900, Completion: 35.026, Response: 0.127, WCRT: 0.211, Next Release: 35.200
Task 2- Release: 34.900, Completion: 35.027, Response: 0.127, WCRT: 0.161, Next Release: 35.300
Task 3- Release: 34.900, Completion: 35.128, Response: 0.228, WCRT: 0.233, Next Release: 35.500
Task 1- Release: 35.200, Completion: 35.315, Response: 0.115, WCRT: 0.211, Next Release: 35.500
Task 2- Release: 35.300, Completion: 35.423, Response: 0.123, WCRT: 0.161, Next Release: 35.700
Task 1- Release: 35.500, Completion: 35.612, Response: 0.112, WCRT: 0.211, Next Release: 35.800
Task 3- Release: 35.500, Completion: 35.615, Response: 0.116, WCRT: 0.233, Next Release: 36.100
Task 2- Release: 35.700, Completion: 35.809, Response: 0.109, WCRT: 0.161, Next Release: 36.100
Task 1- Release: 35.800, Completion: 35.911, Response: 0.111, WCRT: 0.211, Next Release: 36.100
Task 1- Release: 36.100, Completion: 36.196, Response: 0.096, WCRT: 0.211, Next Release: 36.400
Task 2- Release: 36.100, Completion: 36.202, Response: 0.103, WCRT: 0.161, Next Release: 36.500
Task 3- Release: 36.100, Completion: 36.295, Response: 0.195, WCRT: 0.233, Next Release: 36.700
Task 1- Release: 36.400, Completion: 36.516, Response: 0.116, WCRT: 0.211, Next Release: 36.700
Task 2- Release: 36.500, Completion: 36.603, Response: 0.104, WCRT: 0.161, Next Release: 36.900
Task 3- Release: 36.700, Completion: 36.796, Response: 0.096, WCRT: 0.233, Next Release: 37.300
Task 1- Release: 36.700, Completion: 36.796, Response: 0.096, WCRT: 0.211, Next Release: 37.000
Task 2- Release: 36.900, Completion: 37.025, Response: 0.125, WCRT: 0.161, Next Release: 37.300
Task 1- Release: 37.000, Completion: 37.109, Response: 0.110, WCRT: 0.211, Next Release: 37.300
