Task 1- Release:  0.100, Completion:  0.210, Response: 0.110, WCRT: 0.110, Next Release:  0.400
Task 3- Release:  2.500, Completion:  3.014, Response: 0.514, WCRT: 0.527, Next Release:  3.100
Task 1- Release:  3.100, Completion:  3.220, Response: 0.120, WCRT: 0.120, Next Release:  3.400
Task 1- Release:  3.400, Completion:  3.500, Response: 0.100, WCRT: 0.120, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.505, Response: 0.205, WCRT: 0.222, Next Release:  3.700
Task 3- Release:  3.100, Completion:  3.513, Response: 0.413, WCRT: 0.527, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.821, Response: 0.121, WCRT: 0.121, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.921, Response: 0.221, WCRT: 0.222, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.107, Response: 0.107, WCRT: 0.121, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.203, Response: 0.103, WCRT: 0.222, Next Release:  4.500
Task 3- Release:  3.700, Completion:  4.216, Response: 0.516, WCRT: 0.527, Next Release:  4.300
Task 1- Release:  4.300, Completion:  4.420, Response: 0.120, WCRT: 0.121, Next Release:  4.600
Task 1- Release:  4.600, Completion:  4.702, Response: 0.102, WCRT: 0.121, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.703, Response: 0.203, WCRT: 0.222, Next Release:  4.900
Task 3- Release:  4.300, Completion:  4.719, Response: 0.419, WCRT: 0.527, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.001, Response: 0.100, WCRT: 0.121, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.105, Response: 0.205, WCRT: 0.222, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.206, Response: 0.306, WCRT: 0.527, Next Release:  5.500
Task 1- Release:  5.200, Completion:  5.301, Response: 0.101, WCRT: 0.121, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.399, Response: 0.099, WCRT: 0.222, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.626, Response: 0.126, WCRT: 0.126, Next Release:  5.800
Task 2- Release:  5.700Task 1- Release:  5.800, Completion:  5.904, Response: 0.104, WCRT: 0.126, Next Release:  6.100
, Completion:  5.804, Response: 0.104, WCRT: 0.222, Next Release:  6.100
Task 3- Release:  5.500, Completion:  5.924, Response: 0.424, WCRT: 0.527, Next Release:  6.100
Task 1- Release:  6.100, Completion:  6.216, Response: 0.116, WCRT: 0.126, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.315, Response: 0.215, WCRT: 0.222, Next Release:  6.500
Task 1- Release:  6.400, Completion:  6.506, Response: 0.106, WCRT: 0.126, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.607, Response: 0.107, WCRT: 0.222, Next Release:  6.900
Task 3- Release:  6.100, Completion:  6.616, Response: 0.516, WCRT: 0.527, Next Release:  6.700
Task 1- Release:  6.700, Completion:  6.821, Response: 0.121, WCRT: 0.126, Next Release:  7.000
Task 2- Release:  6.900Task 1- Release:  7.000, Completion:  7.103, Response: 0.103, WCRT: 0.126, Next Release:  7.300
, Completion:  7.001, Response: 0.101, WCRT: 0.222, Next Release:  7.300
Task 3- Release:  6.700, Completion:  7.125, Response: 0.425, WCRT: 0.527, Next Release:  7.300
Task 1- Release:  7.300, Completion:  7.412, Response: 0.112, WCRT: 0.126, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.518, Response: 0.218, WCRT: 0.222, Next Release:  7.700
Task 1- Release:  7.600, Completion:  7.711, Response: 0.111, WCRT: 0.126, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.808, Response: 0.108, WCRT: 0.222, Next Release:  8.100
Task 3- Release:  7.300, Completion:  7.814, Response: 0.514, WCRT: 0.527, Next Release:  7.900
Task 1- Release:  7.900, Completion:  8.004, Response: 0.104, WCRT: 0.126, Next Release:  8.200
Task 2- Release:  8.100, Completion:  8.199, Response: 0.099, WCRT: Task 1- Release:  8.200, Completion:  8.299, Response: 0.099, WCRT: 0.126, Next Release:  8.500
0.222, Next Release:  8.500
Task 3- Release:  7.900, Completion:  8.299, Response: 0.399, WCRT: 0.527, Next Release:  8.500
Task 1- Release:  8.500, Completion:  8.618, Response: 0.118, WCRT: 0.126, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.717, Response: 0.216, WCRT: 0.222, Next Release:  8.900
Task 1- Release:  8.800, Completion:  8.901, Response: 0.101, WCRT: 0.126, Next Release:  9.100
Task 2- Release:  8.900, Completion:  9.001, Response: 0.101, WCRT: 0.222, Next Release:  9.300
Task 3- Release:  8.500, Completion:  9.016, Response: 0.516, WCRT: 0.527, Next Release:  9.100
Task 1- Release:  9.100, Completion:  9.215, Response: 0.115, WCRT: 0.126, Next Release:  9.400
Task 3Task 1- Release:  9.400, Completion:  9.503, Response: 0.103, WCRT: 0.126, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.510, Response: 0.210, WCRT: 0.222, Next Release:  9.700
- Release:  9.100, Completion:  9.311, Response: 0.211, WCRT: 0.527, Next Release:  9.700
Task 1- Release:  9.700, Completion:  9.823, Response: 0.123, WCRT: 0.126, Next Release: 10.000
Task 2- Release:  9.700, Completion:  9.925, Response: 0.225, WCRT: 0.225, Next Release: 10.100
Task 1- Release: 10.000, Completion: 10.104, Response: 0.104, WCRT: 0.126, Next Release: 10.300
Task 2- Release: 10.100, Completion: 10.207, Response: 0.107, WCRT: 0.225, Next Release: 10.500
Task 3- Release:  9.700, Completion: 10.230, Response: 0.530, WCRT: 0.530, Next Release: 10.300
Task 1- Release: 10.300, Completion: 10.421, Response: 0.121, WCRT: 0.126, Next Release: 10.600
Task 2- Release: 10.500, Completion: 10.601Task 1- Release: 10.600, Completion: 10.699, Response: 0.099, WCRT: 0.126, Next Release: 10.900
, Response: 0.101, WCRT: 0.225, Next Release: 10.900
Task 3- Release: 10.300, Completion: 10.715, Response: 0.415, WCRT: 0.530, Next Release: 10.900
Task 1- Release: 10.900, Completion: 11.005, Response: 0.105, WCRT: 0.126, Next Release: 11.200
Task 2- Release: 10.900, Completion: 11.105, Response: 0.205, WCRT: 0.225, Next Release: 11.300
Task 1- Release: 11.200, Completion: 11.309, Response: 0.109, WCRT: 0.126, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.408, Response: 0.108, WCRT: 0.225, Next Release: 11.700
Task 3- Release: 10.900, Completion: 11.408, Response: 0.508, WCRT: 0.530, Next Release: 11.500
Task 1- Release: 11.500, Completion: 11.621, Response: 0.121, WCRT: 0.126, Next Release: 11.800
Task 1- Release: 11.800, Completion: 11.904, Response: 0.104, WCRT: 0.126, Next Release: 12.100
Task 2- Release: 11.700, Completion: 11.912, Response: 0.212, WCRT: 0.225, Next Release: 12.100
Task 3- Release: 11.500, Completion: 11.928, Response: 0.428, WCRT: 0.530, Next Release: 12.100
Task 1- Release: 12.100, Completion: 12.219, Response: 0.119, WCRT: 0.126, Next Release: 12.400
Task 2- Release: 12.100, Completion: 12.325, Response: 0.225, WCRT: 0.225, Next Release: 12.500
Task 1- Release: 12.400, Completion: 12.504, Response: 0.104, WCRT: 0.126, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.604, Response: 0.104, WCRT: 0.225, Next Release: 12.900
Task 3- Release: 12.100, Completion: 12.625, Response: 0.525, WCRT: 0.530, Next Release: 12.700
Task 1- Release: 12.700, Completion: 12.820, Response: 0.120, WCRT: 0.126, Next Release: 13.000
Task 1- Release: 13.000, Completion: 13.100, Response: 0.100, WCRT: 0.126, Next Release: 13.300
Task 2- Release: 12.900, Completion: 13.104, Response: 0.204, WCRT: 0.225, Next Release: 13.300
Task 3- Release: 12.700, Completion: 13.121, Response: 0.421, WCRT: 0.530, Next Release: 13.300
Task 1- Release: 13.300, Completion: 13.422, Response: 0.122, WCRT: 0.126, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.525, Response: 0.225, WCRT: 0.225, Next Release: 13.700
Task 1- Release: 13.600, Completion: 13.704, Response: 0.104, WCRT: 0.126, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.807, Response: 0.107, WCRT: 0.225, Next Release: 14.100
Task 3- Release: 13.300, Completion: 13.822, Response: 0.522, WCRT: 0.530, Next Release: 13.900
Task 1- Release: 13.900, Completion: 14.002, Response: 0.102, WCRT: 0.126, Next Release: 14.200
Task 1- Release: 14.200, Completion: 14.299, Response: 0.099, WCRT: 0.126, Next Release: 14.500
Task 2- Release: 14.100, Completion: 14.303, Response: 0.203, WCRT: 0.225, Next Release: 14.500
Task 3- Release: 13.900, Completion: 14.304, Response: 0.404, WCRT: 0.530, Next Release: 14.500
Task 1- Release: 14.500, Completion: 14.616, Response: 0.116, WCRT: 0.126, Next Release: 14.800
Task 2- Release: 14.500, Completion: 14.711, Response: 0.211, WCRT: 0.225, Next Release: 14.900
Task 1- Release: 14.800, Completion: 14.905, Response: 0.105, WCRT: 0.126, Next Release: 15.100
Task 2- Release: 14.900, Completion: 15.007, Response: 0.107, WCRT: 0.225, Next Release: 15.300
Task 3- Release: 14.500, Completion: 15.012, Response: 0.512, WCRT: 0.530, Next Release: 15.100
Task 1- Release: 15.100, Completion: 15.214, Response: 0.114, WCRT: 0.126, Next Release: 15.400
Task Task 1- Release: 15.400, Completion: 15.510, Response: 0.110, WCRT: 0.126, Next Release: 15.700
2- Release: 15.300, Completion: 15.407, Response: 0.107, WCRT: 0.225, Next Release: 15.700
Task 3- Release: 15.100, Completion: 15.516, Response: 0.416, WCRT: 0.530, Next Release: 15.700
Task 1- Release: 15.700, Completion: 15.820, Response: 0.120, WCRT: 0.126, Next Release: 16.000
Task 2- Release: 15.700, Completion: 15.927, Response: 0.227, WCRT: 0.227, Next Release: 16.100
Task 1- Release: 16.000, Completion: 16.104, Response: 0.104, WCRT: 0.126, Next Release: 16.300
Task 2- Release: 16.100, Completion: 16.203, Response: 0.103, WCRT: 0.227, Next Release: 16.500
Task 3- Release: 15.700, Completion: 16.223, Response: 0.523, WCRT: 0.530, Next Release: 16.300
Task 1- Release: 16.300, Completion: 16.403, Response: 0.103, WCRT: 0.126, Next Release: 16.600
Task 3- Release: 16.300, Completion: 16.499, Response: 0.199, WCRT: 0.530, Next Release: 16.900
Task 2- Release: 16.500, Completion: 16.598, Response: 0.098, WCRT: 0.227, Next Release: 16.900
Task 1- Release: 16.600, Completion: 16.694, Response: 0.094, WCRT: 0.126, Next Release: 16.900
Task 1- Release: 16.900, Completion: 17.003, Response: 0.103, WCRT: 0.126, Next Release: 17.200
Task 2- Release: 16.900, Completion: 17.107, Response: 0.207, WCRT: 0.227, Next Release: 17.300
Task 1- Release: 17.200, Completion: 17.303, Response: 0.103, WCRT: 0.126, Next Release: 17.500
Task 2- Release: 17.300, Completion: 17.404, Response: 0.104, WCRT: 0.227, Next Release: 17.700
Task 3- Release: 16.900, Completion: 17.408, Response: 0.508, WCRT: 0.530, Next Release: 17.500
Task 1- Release: 17.500, Completion: 17.615, Response: 0.115, WCRT: 0.126, Next Release: 17.800
Task Task 1- Release: 17.800, Completion: 17.904, Response: 0.104, WCRT: 0.126, Next Release: 18.100
2- Release: 17.700, Completion: 17.802, Response: 0.102, WCRT: 0.227, Next Release: 18.100
Task 3- Release: 17.500, Completion: 17.914, Response: 0.414, WCRT: 0.530, Next Release: 18.100
Task 1- Release: 18.100, Completion: 18.224, Response: 0.124, WCRT: 0.126, Next Release: 18.400
Task 2- Release: 18.100, Completion: 18.323, Response: 0.223, WCRT: 0.227, Next Release: 18.500
Task 1- Release: 18.400, Completion: 18.507, Response: 0.107, WCRT: 0.126, Next Release: 18.700
Task 2- Release: 18.500, Completion: 18.605, Response: 0.105, WCRT: 0.227, Next Release: 18.900
Task 3- Release: 18.100, Completion: 18.619, Response: 0.519, WCRT: 0.530, Next Release: 18.700
Task 1- Release: 18.700, Completion: 18.819, Response: 0.119, WCRT: 0.126, Next Release: 19.000
Task 2- Release: 18.900Task 1- Release: 19.000, Completion: 19.106, Response: 0.106, WCRT: 0.126, Next Release: 19.300
, Completion: 19.004, Response: 0.104, WCRT: 0.227, Next Release: 19.300
Task 3- Release: 18.700, Completion: 19.117, Response: 0.417, WCRT: 0.530, Next Release: 19.300
Task 1- Release: 19.300, Completion: 19.424, Response: 0.124, WCRT: 0.126, Next Release: 19.600
Task 2- Release: 19.300, Completion: 19.526, Response: 0.226, WCRT: 0.227, Next Release: 19.700
Task 1- Release: 19.600, Completion: 19.710, Response: 0.110, WCRT: 0.126, Next Release: 19.900
Task 2- Release: 19.700, Completion: 19.814, Response: 0.114, WCRT: 0.227, Next Release: 20.100
Task 3- Release: 19.300, Completion: 19.832, Response: 0.532, WCRT: 0.532, Next Release: 19.900
Task 1- Release: 19.900, Completion: 20.018, Response: 0.118, WCRT: 0.126, Next Release: 20.200
Task 1- Release: 20.200, Completion: 20.308, Response: 0.108, WCRT: 0.126, Next Release: 20.500
Task 2- Release: 20.100, Completion: 20.313, Response: 0.213, WCRT: 0.227, Next Release: 20.500
Task 3- Release: 19.900, Completion: 20.315, Response: 0.415, WCRT: 0.532, Next Release: 20.500
Task 1- Release: 20.500, Completion: 20.619, Response: 0.119, WCRT: 0.126, Next Release: 20.800
Task 2- Release: 20.500, Completion: 20.718, Response: 0.218, WCRT: 0.227, Next Release: 20.900
Task 1- Release: 20.800, Completion: 20.906, Response: 0.106, WCRT: 0.126, Next Release: 21.100
Task 2- Release: 20.900, Completion: 21.006, Response: 0.106, WCRT: 0.227, Next Release: 21.300
Task 3- Release: 20.500, Completion: 21.018, Response: 0.518, WCRT: 0.532, Next Release: 21.100
Task 1- Release: 21.100, Completion: 21.219, Response: 0.119, WCRT: 0.126, Next Release: 21.400
Task 2- Release: 21.300Task 1- Release: 21.400, Completion: 21.504, Response: 0.104, WCRT: 0.126, Next Release: 21.700
, Completion: 21.403, Response: 0.103, WCRT: 0.227, Next Release: 21.700
Task 3- Release: 21.100, Completion: 21.516, Response: 0.416, WCRT: 0.532, Next Release: 21.700
Task 1- Release: 21.700, Completion: 21.826, Response: 0.126, WCRT: 0.126, Next Release: 22.000
Task 2- Release: 21.700, Completion: 21.930, Response: 0.230, WCRT: 0.230, Next Release: 22.100
Task 1- Release: 22.000, Completion: 22.112, Response: 0.112, WCRT: 0.126, Next Release: 22.300
Task 2- Release: 22.100, Completion: 22.211, Response: 0.111, WCRT: 0.230, Next Release: 22.500
Task 3- Release: 21.700, Completion: 22.228, Response: 0.528, WCRT: 0.532, Next Release: 22.300
Task 1- Release: 22.300, Completion: 22.419, Response: 0.119, WCRT: 0.126, Next Release: 22.600
Task 2Task 1- Release: 22.600, Completion: 22.704, Response: 0.104, WCRT: 0.126, Next Release: 22.900
- Release: 22.500, Completion: 22.602, Response: 0.102, WCRT: 0.230, Next Release: 22.900
Task 3- Release: 22.300, Completion: 22.721, Response: 0.421, WCRT: 0.532, Next Release: 22.900
Task 1- Release: 22.900, Completion: 23.009, Response: 0.109, WCRT: 0.126, Next Release: 23.200
Task 2- Release: 22.900, Completion: 23.106, Response: 0.206, WCRT: 0.230, Next Release: 23.300
Task 3- Release: 22.900, Completion: Task 1- Release: 23.200, Completion: 23.306, Response: 0.106, WCRT: 0.126, Next Release: 23.500
Task 2- Release: 23.300, Completion: 23.408, Response: 0.108, WCRT: 0.230, Next Release: 23.700
23.203, Response: 0.303, WCRT: 0.532, Next Release: 23.500
Task 1- Release: 23.500, Completion: 23.622, Response: 0.122, WCRT: 0.126, Next Release: 23.800
Task 2Task 1- Release: 23.800, Completion: 23.913, Response: 0.113, WCRT: 0.126, Next Release: 24.100
- Release: 23.700, Completion: 23.807, Response: 0.107, WCRT: 0.230, Next Release: 24.100
Task 3- Release: 23.500, Completion: 23.921, Response: 0.421, WCRT: 0.532, Next Release: 24.100
Task 1- Release: 24.100, Completion: 24.218, Response: 0.118, WCRT: 0.126, Next Release: 24.400
Task 2- Release: 24.100, Completion: 24.317, Response: 0.217, WCRT: 0.230, Next Release: 24.500
Task 1- Release: 24.400, Completion: 24.505, Response: 0.105, WCRT: 0.126, Next Release: 24.700
Task 2- Release: 24.500, Completion: 24.603, Response: 0.103, WCRT: 0.230, Next Release: 24.900
Task 3- Release: 24.100, Completion: 24.612, Response: 0.512, WCRT: 0.532, Next Release: 24.700
Task 1- Release: 24.700, Completion: 24.816, Response: 0.116, WCRT: 0.126, Next Release: 25.000
Task 1- Release: 25.000, Completion: 25.101, Response: 0.101, WCRT: 0.126, Next Release: 25.300
Task 2- Release: 24.900, Completion: 25.108, Response: 0.208, WCRT: 0.230, Next Release: 25.300
Task 3- Release: 24.700, Completion: 25.116, Response: 0.416, WCRT: 0.532, Next Release: 25.300
Task 1- Release: 25.300, Completion: 25.424, Response: 0.124, WCRT: 0.126, Next Release: 25.600
Task 2- Release: 25.300, Completion: 25.525, Response: 0.225, WCRT: 0.230, Next Release: 25.700
Task 1- Release: 25.600, Completion: 25.701, Response: 0.100, WCRT: 0.126, Next Release: 25.900
Task 2- Release: 25.700, Completion: 25.802, Response: 0.102, WCRT: 0.230, Next Release: 26.100
Task 3- Release: 25.300, Completion: 25.826, Response: 0.526, WCRT: 0.532, Next Release: 25.900
Task 1- Release: 25.900, Completion: 26.019, Response: 0.119, WCRT: 0.126, Next Release: 26.200
Task 2- Release: 26.100, Completion: 26.198, Response: 0.098, WCRT: 0.230, Next Release: 26.500
Task 1- Release: 26.200, Completion: 26.304, Response: 0.104, WCRT: 0.126, Next Release: 26.500
Task 3- Release: 25.900, Completion: 26.327, Response: 0.427, WCRT: 0.532, Next Release: 26.500
Task 1- Release: 26.500, Completion: 26.625, Response: 0.125, WCRT: 0.126, Next Release: 26.800
Task 2- Release: 26.500, Completion: 26.724, Response: 0.224, WCRT: 0.230, Next Release: 26.900
Task 1- Release: 26.800, Completion: 26.906, Response: 0.106, WCRT: 0.126, Next Release: 27.100
Task 2- Release: 26.900, Completion: 27.010, Response: 0.110, WCRT: 0.230, Next Release: 27.300
Task 3- Release: 26.500, Completion: 27.028, Response: 0.528, WCRT: 0.532, Next Release: 27.100
Task 1- Release: 27.100, Completion: 27.231, Response: 0.131, WCRT: 0.131, Next Release: 27.400
Task 2- Release: 27.300Task 1- Release: 27.400, Completion: 27.499, Response: 0.099, WCRT: 0.131, Next Release: 27.700
, Completion: 27.401, Response: 0.101, WCRT: 0.230, Next Release: 27.700
Task 3- Release: 27.100, Completion: 27.527, Response: 0.427, WCRT: 0.532, Next Release: 27.700
Task 1- Release: 27.700, Completion: 27.824, Response: 0.124, WCRT: 0.131, Next Release: 28.000
Task 2- Release: 27.700, Completion: 27.927, Response: 0.227, WCRT: 0.230, Next Release: 28.100
Task 1- Release: 28.000, Completion: 28.104, Response: 0.104, WCRT: 0.131, Next Release: 28.300
Task 2- Release: 28.100, Completion: 28.206, Response: 0.106, WCRT: 0.230, Next Release: 28.500
Task 3- Release: 27.700, Completion: 28.235, Response: 0.535, WCRT: 0.535, Next Release: 28.300
Task 1- Release: 28.300, Completion: 28.429, Response: 0.129, WCRT: 0.131, Next Release: 28.600
Task 2- Release: 28.500, Completion: Task 1- Release: 28.600, Completion: 28.711, Response: 0.111, WCRT: 0.131, Next Release: 28.900
28.608, Response: 0.108, WCRT: 0.230, Next Release: 28.900
Task 3- Release: 28.300, Completion: 28.727, Response: 0.427, WCRT: 0.535, Next Release: 28.900
Task 1- Release: 28.900, Completion: 29.001, Response: 0.101, WCRT: 0.131, Next Release: 29.200
Task 2- Release: 28.900, Completion: 29.102, Response: 0.202, WCRT: 0.230, Next Release: 29.300
Task 3- Release: 28.900, Completion: 29.199, Response: 0.299, WCRT: 0.535, Next Release: 29.500
Task 1- Release: 29.200, Completion: 29.323, Response: 0.123, WCRT: 0.131, Next Release: 29.500
Task 2- Release: 29.300, Completion: 29.419, Response: 0.119, WCRT: 0.230, Next Release: 29.700
Task 1- Release: 29.500, Completion: 29.620, Response: 0.120, WCRT: 0.131, Next Release: 29.800
Task 1- Release: 29.800, Completion: 29.905, Response: 0.105, WCRT: 0.131, Next Release: 30.100
Task 2- Release: 29.700, Completion: 29.914, Response: 0.214, WCRT: 0.230, Next Release: 30.100
Task 3- Release: 29.500, Completion: 29.925, Response: 0.425, WCRT: 0.535, Next Release: 30.100
Task 1- Release: 30.100, Completion: 30.222, Response: 0.122, WCRT: 0.131, Next Release: 30.400
Task 2- Release: 30.100, Completion: 30.323, Response: 0.223, WCRT: 0.230, Next Release: 30.500
Task 1- Release: 30.400, Completion: 30.508, Response: 0.108, WCRT: 0.131, Next Release: 30.700
Task 2- Release: 30.500, Completion: 30.610, Response: 0.110, WCRT: 0.230, Next Release: 30.900
Task 3- Release: 30.100, Completion: 30.626, Response: 0.526, WCRT: 0.535, Next Release: 30.700
Task 1- Release: 30.700, Completion: 30.824, Response: 0.124, WCRT: 0.131, Next Release: 31.000
Task 2- Release: 30.900, Completion: Task 1- Release: 31.000, Completion: 31.104, Response: 0.104, WCRT: 0.131, Next Release: 31.300
31.004, Response: 0.104, WCRT: 0.230, Next Release: 31.300
Task 3- Release: 30.700, Completion: 31.123, Response: 0.423, WCRT: 0.535, Next Release: 31.300
Task 1- Release: 31.300, Completion: 31.422, Response: 0.122, WCRT: 0.131, Next Release: 31.600
Task 2- Release: 31.300, Completion: 31.523, Response: 0.223, WCRT: 0.230, Next Release: 31.700
Task 1- Release: 31.600, Completion: 31.705, Response: 0.105, WCRT: 0.131, Next Release: 31.900
Task 2- Release: 31.700, Completion: 31.805, Response: 0.105, WCRT: 0.230, Next Release: 32.100
Task 3- Release: 31.300, Completion: 31.822, Response: 0.522, WCRT: 0.535, Next Release: 31.900
Task 1- Release: 31.900, Completion: 32.013, Response: 0.112, WCRT: 0.131, Next Release: 32.200
Task 2- Release: 32.100, Completion: Task 1- Release: 32.200, Completion: 32.300, Response: 0.100, WCRT: 0.131, Next Release: 32.500
32.202, Response: 0.102, WCRT: 0.230, Next Release: 32.500
Task 3- Release: 31.900, Completion: 32.309, Response: 0.409, WCRT: 0.535, Next Release: 32.500
Task 1- Release: 32.500, Completion: 32.621, Response: 0.121, WCRT: 0.131, Next Release: 32.800
Task 2- Release: 32.500, Completion: 32.726, Response: 0.226, WCRT: 0.230, Next Release: 32.900
Task 1- Release: 32.800, Completion: 32.907, Response: 0.107, WCRT: 0.131, Next Release: 33.100
Task 2- Release: 32.900, Completion: 33.003, Response: 0.103, WCRT: 0.230, Next Release: 33.300
Task 3- Release: 32.500, Completion: 33.021, Response: 0.521, WCRT: 0.535, Next Release: 33.100
Task 1- Release: 33.100, Completion: 33.202, Response: 0.102, WCRT: 0.131, Next Release: 33.400
Task 3- Release: 33.100, Completion: 33.302, Response: 0.202, WCRT: 0.535, Next Release: 33.700
Task 2- Release: 33.300, Completion: 33.399, Response: 0.099, WCRT: 0.230, Next Release: 33.700
Task 1- Release: 33.400, Completion: 33.496, Response: 0.096, WCRT: 0.131, Next Release: 33.700
Task 1- Release: 33.700, Completion: 33.822, Response: 0.122, WCRT: 0.131, Next Release: 34.000
Task 2- Release: 33.700, Completion: 33.928, Response: 0.228, WCRT: 0.230, Next Release: 34.100
Task 1- Release: 34.000, Completion: 34.104, Response: 0.104, WCRT: 0.131, Next Release: 34.300
Task 2- Release: 34.100, Completion: 34.208, Response: 0.108, WCRT: 0.230, Next Release: 34.500
Task 3- Release: 33.700, Completion: 34.232, Response: 0.532, WCRT: 0.535, Next Release: 34.300
Task 1- Release: 34.300, Completion: 34.417, Response: 0.117, WCRT: 0.131, Next Release: 34.600
Task 2- Release: 34.500Task 1- Release: 34.600, Completion: 34.707, Response: 0.107, WCRT: 0.131, Next Release: 34.900
, Completion: 34.607, Response: 0.107, WCRT: 0.230, Next Release: 34.900
Task 3- Release: 34.300, Completion: 34.715, Response: 0.415, WCRT: 0.535, Next Release: 34.900
Task 1- Release: 34.900, Completion: 35.005, Response: 0.105, WCRT: 0.131, Next Release: 35.200
Task 2- Release: 34.900, Completion: 35.105, Response: 0.205, WCRT: 0.230, Next Release: 35.300
Task Task 1- Release: 35.200, Completion: 35.309, Response: 0.109, WCRT: 0.131, Next Release: 35.500
Task 2- Release: 35.300, Completion: 35.412, Response: 0.112, WCRT: 0.230, Next Release: 35.700
3- Release: 34.900, Completion: 35.207, Response: 0.307, WCRT: 0.535, Next Release: 35.500
Task 1- Release: 35.500, Completion: 35.621, Response: 0.121, WCRT: 0.131, Next Release: 35.800
Task Task 1- Release: 35.800, Completion: 35.903, Response: 0.103, WCRT: 0.131, Next Release: 36.100
2- Release: 35.700, Completion: 35.804, Response: 0.104, WCRT: 0.230, Next Release: 36.100
Task 3- Release: 35.500, Completion: 35.925, Response: 0.425, WCRT: 0.535, Next Release: 36.100
Task 1- Release: 36.100, Completion: 36.223, Response: 0.123, WCRT: 0.131, Next Release: 36.400
Task 2- Release: 36.100, Completion: 36.329, Response: 0.229, WCRT: 0.230, Next Release: 36.500
Task 1- Release: 36.400, Completion: 36.511, Response: 0.111, WCRT: 0.131, Next Release: 36.700
Task 2- Release: 36.500, Completion: 36.613, Response: 0.113, WCRT: 0.230, Next Release: 36.900
Task 3- Release: 36.100, Completion: 36.627, Response: 0.527, WCRT: 0.535, Next Release: 36.700
Task 1- Release: 36.700, Completion: 36.821, Response: 0.121, WCRT: 0.131, Next Release: 37.000
Task 1- Release: 37.000, Completion: 37.104, Response: 0.104, WCRT: 0.131, Next Release: 37.300
Task 2- Release: 36.900, Completion: 37.108, Response: 0.207, WCRT: 0.230, Next Release: 37.300
Task 3- Release: 36.700, Completion: 37.127, Response: 0.426, WCRT: 0.535, Next Release: 37.300
